match_id,event_id,event_name,division,round,match_number,scheduled,field,alliance_color,alliance_score,team_id,team_name,result
122921071,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,3,1,,Cancha VU Math,blue,69,165665,TCGMC2,loss
122921071,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,3,1,,Cancha VU Math,red,79,27472,TMAT1,win
121817612,63447,Torneo final de Liga estatal de Chihuahua,Default Division,4,1,,,blue,50,53020,UTCJ1,loss
121817612,63447,Torneo final de Liga estatal de Chihuahua,Default Division,4,1,,,red,60,165665,TCGMC2,win
121817614,63447,Torneo final de Liga estatal de Chihuahua,Default Division,5,1,,,blue,46,178729,UTBAB2,loss
121817614,63447,Torneo final de Liga estatal de Chihuahua,Default Division,5,1,,,red,70,165665,TCGMC2,win
122921067,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,blue,37,151616,TECMI3,loss
122921067,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,6,1,,,red,105,165665,TCGMC2,win
121817559,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,4,2025-11-19T11:43:30-05:00,Field 1,blue,29,55726,TCMG1,loss
121817559,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,4,2025-11-19T11:43:30-05:00,Field 1,red,42,150432,UTCJ2,win
122920932,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,11,2025-11-28T09:37:30-05:00,College Ciencia Field,blue,30,126341,ITSMQ,loss
122920932,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,11,2025-11-28T09:37:30-05:00,College Ciencia Field,red,45,55726,TCMG1,win
122920942,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,21,2025-11-28T10:22:30-05:00,College Ciencia Field,blue,49,55726,TCMG1,loss
122920942,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,21,2025-11-28T10:22:30-05:00,College Ciencia Field,red,87,150432,UTCJ2,win
122920949,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,28,2025-11-28T10:45:00-05:00,Cancha VU Math,blue,104,55726,TCMG1,win
122920949,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,28,2025-11-28T10:45:00-05:00,Cancha VU Math,red,13,150307,UTALT2,loss
121817588,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,33,2025-11-19T14:02:00-05:00,Field 1,blue,24,72552,UACH1,loss
121817588,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,33,2025-11-19T14:02:00-05:00,Field 1,red,65,55726,TCMG1,win
122920959,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,38,2025-11-28T11:30:00-05:00,Cancha VU Math,blue,42,55726,TCMG1,win
122920959,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,38,2025-11-28T11:30:00-05:00,Cancha VU Math,red,23,90205,ITESM1,loss
121817594,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,39,2025-11-19T15:34:00-05:00,Field 1,blue,77,55726,TCMG1,win
121817594,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,39,2025-11-19T15:34:00-05:00,Field 1,red,18,187086,UTCHS1,loss
121817598,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,43,2025-11-19T15:50:00-05:00,Field 1,blue,0,181721,UTCHH1,tie
121817598,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,43,2025-11-19T15:50:00-05:00,Field 1,red,0,55726,TCMG1,tie
121817605,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,50,2025-11-19T16:18:00-05:00,Field 1,blue,0,150424,UTPRR1,tie
121817605,63447,Torneo final de Liga estatal de Chihuahua,Default Division,2,50,2025-11-19T16:18:00-05:00,Field 1,red,0,55726,TCMG1,tie
122920983,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,62,2025-11-28T13:15:00-05:00,Cancha VU Math,blue,67,55726,TCMG1,win
122920983,60639,Signature Event Campeonato Internacional de Robótica: y Habilidades STEM 2025-2026 Playa del Carmen,Engineering,2,62,2025-11-28T13:15:00-05:00,Cancha VU Math,red,5,127717,UTCHE1,loss
